32770,indian
5,greek
32774,greek
7,italian
11,greek
12,greek
13,greek
32783,southern_us
38232,greek
18,italian
32789,greek
23,greek
26,greek
32796,greek
32800,southern_us
35,greek
36,greek
32806,greek
42,greek
32813,greek
47,greek
51,greek
52,greek
57,southern_us
32830,italian
66,jamaican
32836,greek
32838,jamaican
32839,greek
32843,indian
32852,greek
85,greek
32854,indian
32866,indian
32869,jamaican
32871,greek
32873,greek
5479,italian
32786,greek
32883,greek
32884,italian
117,greek
32889,italian
122,greek
123,greek
32892,greek
32893,greek
32894,southern_us
130,greek
131,southern_us
49174,jamaican
142,greek
144,southern_us
32915,italian
32918,jamaican
32924,jamaican
32925,italian
32928,greek
164,italian
32933,italian
166,greek
32935,italian
28,filipino
32939,jamaican
172,southern_us
173,greek
32949,greek
182,greek
183,greek
188,greek
10954,indian
191,indian
32960,southern_us
16417,jamaican
32968,greek
32970,jamaican
210,greek
32982,indian
32985,indian
219,jamaican
32989,italian
32991,greek
224,greek
32993,jamaican
226,greek
227,italian
229,italian
235,greek
236,greek
240,greek
246,italian
247,southern_us
249,indian
33018,indian
253,greek
256,italian
257,indian
263,jamaican
33033,indian
43736,greek
278,jamaican
286,indian
33061,greek
33063,southern_us
33064,greek
299,indian
300,greek
33072,italian
38280,indian
32819,italian
308,italian
33077,southern_us
313,greek
316,jamaican
325,indian
326,greek
327,greek
2193,greek
329,greek
33106,italian
339,indian
33108,indian
33109,indian
344,greek
350,italian
33120,greek
33121,greek
33129,italian
33137,greek
370,italian
33139,indian
373,greek
33143,indian
376,indian
378,greek
381,italian
384,greek
33155,italian
388,greek
391,italian
392,italian
33163,indian
33164,greek
33165,italian
33170,indian
403,greek
404,indian
13107,greek
411,indian
416,jamaican
418,greek
423,greek
425,greek
71,greek
431,southern_us
434,greek
33206,indian
439,greek
440,indian
445,italian
33214,greek
33224,indian
460,southern_us
466,jamaican
480,indian
482,italian
33251,greek
489,greek
33258,greek
33264,greek
33265,italian
498,greek
33267,southern_us
33269,greek
33274,italian
511,italian
33281,indian
17,italian
33285,greek
33286,greek
33287,jamaican
520,indian
525,indian
526,indian
527,greek
530,italian
33300,greek
5550,indian
33302,italian
33305,greek
538,greek
33309,jamaican
542,southern_us
544,indian
33316,greek
33326,greek
564,italian
565,indian
33336,indian
569,southern_us
573,greek
33342,italian
33346,greek
579,filipino
582,italian
584,indian
585,greek
586,indian
587,greek
33358,greek
33367,indian
33369,southern_us
33370,southern_us
603,jamaican
606,greek
607,greek
33377,southern_us
33378,jamaican
33379,greek
33384,greek
33387,italian
622,italian
33392,greek
33399,greek
633,indian
634,indian
635,greek
33406,greek
643,greek
5569,southern_us
649,greek
33418,greek
656,indian
665,indian
668,greek
33437,greek
33438,greek
33443,italian
676,greek
678,italian
33447,greek
33448,indian
685,southern_us
33455,southern_us
688,southern_us
33457,indian
33460,jamaican
694,southern_us
33468,greek
701,jamaican
705,jamaican
708,greek
712,greek
33483,greek
716,greek
719,greek
721,jamaican
723,italian
725,southern_us
728,jamaican
21967,italian
732,indian
33503,southern_us
737,jamaican
738,indian
741,indian
743,greek
744,greek
33522,greek
33523,greek
761,greek
762,southern_us
33534,italian
767,greek
768,greek
770,italian
771,greek
774,greek
33544,italian
777,greek
778,greek
781,indian
784,jamaican
33553,greek
789,southern_us
33560,southern_us
795,greek
797,greek
133,italian
805,indian
807,greek
809,italian
811,indian
33580,greek
813,jamaican
33582,southern_us
817,greek
822,italian
823,indian
824,greek
825,southern_us
828,greek
33598,italian
43829,italian
832,indian
5600,italian
33602,italian
33604,italian
838,greek
33614,jamaican
853,filipino
33623,greek
33624,greek
33625,indian
33629,jamaican
5605,indian
33632,indian
867,greek
868,filipino
16529,greek
872,greek
876,indian
877,greek
33646,greek
33651,greek
884,greek
33661,greek
33665,greek
33667,indian
33675,indian
908,greek
33677,greek
33682,spanish
33684,jamaican
918,indian
33687,jamaican
33691,greek
33692,indian
926,southern_us
33705,italian
939,greek
